1,2026,235,1031,0,893.84,176.4116,-84.15553,33.63232,32.41496,-5478.082,1988.733,0,0,30.49675,30.51963,61.16714,60.87384,0,31.88738,40.54349,504.9166
1,2026,235,1032,0,828.5678,162.0442,-82.69238,32.14275,32.25357,-5672.765,1909.408,0,0,30.00703,30.06717,62.88415,62.59798,0,31.89909,39.86879,504.8974
1,2026,235,1033,0,909.2569,179.6066,-80.74946,41.32352,32.22854,-5587.146,2020.277,0,0,29.85661,29.88024,64.11936,63.75864,0,31.87248,41.21226,504.8666
1,2026,235,1034,0,904.2971,179.7542,-81.36443,43.67719,32.36623,-1683.366,2002.901,0,0,30.119,30.17463,63.62271,63.36127,0,31.83044,42.38782,504.8638
1,2026,235,1035,0,919.2192,182.7892,-83.31562,39.22905,32.45113,-5464.831,2041.959,0,0,30.32849,30.33763,62.62367,62.34468,0,31.79464,41.59312,504.8514
1,2026,235,1036,0,909.0725,179.584,-83.46155,38.71389,32.48141,-5421.29,2020.332,0,0,30.33093,30.33852,62.79636,62.67331,0,31.74896,41.4637,504.8752
1,2026,235,1037,0,903.4258,178.9216,-82.52491,40.00988,32.52604,-3531.739,2005.855,0,0,30.31087,30.28397,63.08217,62.97788,0,31.76833,41.73324,504.8504
1,2026,235,1038,0,906.7715,179.801,-84.40871,39.97239,32.58332,-5477.561,2015.891,0,0,30.40162,30.38983,62.6227,62.43455,0,31.84389,42.09123,504.8619
1,2026,235,1039,0,908.7628,179.1419,-82.98994,40.32767,32.58961,-987.6605,2025.698,0,0,30.31173,30.33473,63.29521,63.05387,0,31.89021,42.16788,504.8588
1,2026,235,1040,0,909.6094,178.9861,-83.35483,38.20207,32.56059,2009.657,2025.869,0,0,30.19787,30.17042,63.18799,63.05386,0,31.94706,41.71845,504.8064
1,2026,235,1041,0,909.4863,179.2912,-82.77252,41.631,32.55694,-1674.158,2023.898,0,0,30.03785,30.04905,64.71075,64.57151,0,31.99352,41.89285,504.7864
1,2026,235,1042,0,909.0256,178.5928,-82.51984,39.9823,32.54398,-3656.433,2023.377,0,0,30.25994,30.2409,63.27119,63.09333,0,32.04092,41.9912,504.7682
1,2026,235,1043,0,919.3907,182.3073,-80.77409,48.00196,32.65644,207.9731,2045.599,0,0,30.26648,30.30167,64.43578,64.18423,0,32.1229,43.74579,504.7731
1,2026,235,1044,0,923.413,183.8708,-83.0659,44.27844,32.79875,245.6611,2052.033,0,0,30.69798,30.69656,62.79072,62.57738,0,32.18236,42.62064,504.7966
1,2026,235,1045,0,927.9996,184.3074,-84.49062,37.67424,32.89113,-3551.859,2064.909,0,0,30.8702,30.81815,61.47733,61.33242,0,32.08047,41.36914,504.7864
1,2026,235,1046,0,933.5912,184.2591,-83.80684,37.09351,32.85146,-1658.456,2079.556,0,0,30.52765,30.50901,62.17878,62.12597,0,31.92773,41.78998,504.7768
1,2026,235,1047,0,935.3314,184.6196,-82.07997,38.3564,32.8049,-1619.509,2081.92,0,0,30.29656,30.30665,63.00245,62.77893,0,31.8029,41.95595,504.7502
1,2026,235,1048,0,948.9802,187.2335,-81.59064,36.53577,32.73011,190.4918,2117.164,0,0,30.1983,30.15711,63.68736,63.50038,0,31.60953,41.29293,504.7409
1,2026,235,1049,0,964.6052,190.2445,-81.00594,39.28351,32.61922,2137.27,2151.338,0,0,30.0316,30.03863,64.13577,64.0015,0,31.42749,41.71936,504.7045
1,2026,235,1050,0,966.113,191.1279,-79.04704,44.69094,32.60961,233.9985,2150.451,0,0,29.92951,29.91381,64.93791,64.76628,0,31.34337,42.99427,504.7029
1,2026,235,1051,0,959.3923,190.4384,-80.36596,43.04763,32.63298,198.7903,2133.737,0,0,30.15633,30.09823,64.00777,63.92443,0,31.34862,42.79174,504.6904
1,2026,235,1052,0,960.2309,190.6686,-81.04631,43.28185,32.67348,-3352.491,2137.654,0,0,30.19616,30.18361,63.58629,63.42814,0,31.28699,42.63398,504.6498
1,2026,235,1053,0,972.0021,193.3487,-79.55991,45.39652,32.7464,-1519.458,2164.561,0,0,30.16709,30.10703,63.78955,63.7443,0,31.23684,43.36852,504.6743
1,2026,235,1054,0,985.972,197.4936,-77.32696,46.47773,32.85799,261.5912,2192.974,0,0,30.18209,30.18569,64.55271,64.42407,0,31.28566,43.6332,504.6837
1,2026,235,1055,0,995.6642,199.2827,-78.20234,39.93119,32.88834,372.7222,2213.553,0,0,30.48088,30.47923,63.11457,62.96713,0,31.27852,42.16714,504.629
1,2026,235,1056,0,997.7158,198.4177,-76.57995,44.60099,32.86943,-1467.137,2222.572,0,0,30.32187,30.2956,63.50118,63.43896,0,31.2149,43.57057,504.6578
1,2026,235,1057,0,996.4647,198.5166,-77.99119,44.95686,32.93745,347.7762,2214.868,0,0,30.09291,30.11057,64.48686,64.36401,0,31.30676,43.92879,504.6295
